N,P,K,temperature,humidity,ph,rainfall,soil_type,label,reference_title,reference_url,source,stats_source_title,stats_source_url
53.9,38.9,49.3,31.57,75.65,6.61,106.23,Clay Loam,ampalaya,PCAARRD ISP – Vegetables Industry Profile,https://ispweb.pcaarrd.dost.gov.ph/vegetables/,DOST-PCAARRD,PSA – Crops Production Survey (national & regional crop statistics),https://psa.gov.ph/crops-production-survey
23.8,45.6,23.5,24.84,60.88,6.63,44.16,Sandy Loam,mungbean,PCAARRD ISP – Legumes Industry Profile,https://ispweb.pcaarrd.dost.gov.ph/legumes/,DOST-PCAARRD,PSA – Crops Production Survey (national & regional crop statistics),https://psa.gov.ph/crops-production-survey
73.9,35.5,47,20.43,67.13,6.24,54.83,Loam,garlic,PCAARRD ISP – Vegetables Industry Profile (garlic),https://ispweb.pcaarrd.dost.gov.ph/vegetables/,DOST-PCAARRD,PSA – Crops Production Survey (national & regional crop statistics),https://psa.gov.ph/crops-production-survey
45.7,39,33.8,29.36,66.41,6.44,64.79,Clay Loam,ampalaya,PCAARRD ISP – Vegetables Industry Profile,https://ispweb.pcaarrd.dost.gov.ph/vegetables/,DOST-PCAARRD,PSA – Crops Production Survey (national & regional crop statistics),https://psa.gov.ph/crops-production-survey
40,23,79.1,28.18,71.17,6,92.55,Sandy Loam,sweet_potato,PCAARRD ISP – Sweetpotato Industry Profile,https://ispweb.pcaarrd.dost.gov.ph/sweetpotato/,DOST-PCAARRD,PSA – Crops Production Survey (national & regional crop statistics),https://psa.gov.ph/crops-production-survey
69.9,48,53.6,23.26,60.64,6.45,34.94,Loam,garlic,PCAARRD ISP – Vegetables Industry Profile (garlic),https://ispweb.pcaarrd.dost.gov.ph/vegetables/,DOST-PCAARRD,PSA – Crops Production Survey (national & regional crop statistics),https://psa.gov.ph/crops-production-survey
45.9,28.4,75.9,25.73,65.96,6.24,122.45,Sandy Loam,sweet_potato,PCAARRD ISP – Sweetpotato Industry Profile,https://ispweb.pcaarrd.dost.gov.ph/sweetpotato/,DOST-PCAARRD,PSA – Crops Production Survey (national & regional crop statistics),https://psa.gov.ph/crops-production-survey
37,35,70,24.45,63.24,6.53,81.77,Loam,sweet_potato,PCAARRD ISP – Sweetpotato Industry Profile,https://ispweb.pcaarrd.dost.gov.ph/sweetpotato/,DOST-PCAARRD,PSA – Crops Production Survey (national & regional crop statistics),https://psa.gov.ph/crops-production-survey
85.4,41,47.4,21.08,56.62,6.42,45.81,Sandy Loam,garlic,PCAARRD ISP – Vegetables Industry Profile (garlic),https://ispweb.pcaarrd.dost.gov.ph/vegetables/,DOST-PCAARRD,PSA – Crops Production Survey (national & regional crop statistics),https://psa.gov.ph/crops-production-survey
18.4,12.9,26,25.26,89.98,6.94,185.68,Sandy,coconut,PCAARRD ISP – Coconut Industry Profile,https://ispweb.pcaarrd.dost.gov.ph/isp-commodities/coconut/,DOST-PCAARRD,PSA – Crops Production Survey (national & regional crop statistics),https://psa.gov.ph/crops-production-survey
112.5,43,51.2,32.42,79.01,5.91,201.63,Clay Loam,sugarcane,PCAARRD ISP – Sugarcane Industry Profile,https://ispweb.pcaarrd.dost.gov.ph/sugarcane/,DOST-PCAARRD,PSA – Crops Production Survey (national & regional crop statistics),https://psa.gov.ph/crops-production-survey
39.7,23.3,61.8,25.01,71.99,5.51,145.18,Volcanic Loam,pineapple,PCAARRD ISP – Queen Pineapple Industry Profile,https://ispweb.pcaarrd.dost.gov.ph/queen-pineapple/,DOST-PCAARRD,PSA – Crops Production Survey (national & regional crop statistics),https://psa.gov.ph/crops-production-survey
80.3,30.5,77.5,31.38,92.99,5.04,272.06,Volcanic Loam,abaca,PCAARRD ISP – Abaca Industry Profile,https://ispweb.pcaarrd.dost.gov.ph/isp-commodities/abaca/,DOST-PCAARRD,PSA – Crops Production Survey (national & regional crop statistics),https://psa.gov.ph/crops-production-survey
104.2,57.7,46.2,33.95,76.09,6.22,139.75,Clay Loam,sugarcane,PCAARRD ISP – Sugarcane Industry Profile,https://ispweb.pcaarrd.dost.gov.ph/sugarcane/,DOST-PCAARRD,PSA – Crops Production Survey (national & regional crop statistics),https://psa.gov.ph/crops-production-survey
15.6,45.9,23,26.04,66.27,6.82,46.63,Loam,mungbean,PCAARRD ISP – Legumes Industry Profile,https://ispweb.pcaarrd.dost.gov.ph/legumes/,DOST-PCAARRD,PSA – Crops Production Survey (national & regional crop statistics),https://psa.gov.ph/crops-production-survey
92.3,29.2,25.9,22.79,58.7,5.81,223.24,Clay Loam,coffee,PCAARRD ISP – Coffee Industry Profile,https://ispweb.pcaarrd.dost.gov.ph/isp-commodities/coffee/,DOST-PCAARRD,PSA – Crops Production Survey (national & regional crop statistics),https://psa.gov.ph/crops-production-survey
50,26.9,77.2,28.77,64.7,4.91,120.78,Sandy Loam,pineapple,PCAARRD ISP – Queen Pineapple Industry Profile,https://ispweb.pcaarrd.dost.gov.ph/queen-pineapple/,DOST-PCAARRD,PSA – Crops Production Survey (national & regional crop statistics),https://psa.gov.ph/crops-production-survey
94.9,52.2,44.3,24.68,87.31,5.76,259.02,Silty Clay Loam,rice,PCAARRD ISP – Rice Industry Profile,https://ispweb.pcaarrd.dost.gov.ph/isp-commodities/rice/,DOST-PCAARRD,PSA – Crops Production Survey (national & regional crop statistics),https://psa.gov.ph/crops-production-survey
47.4,39.4,60.2,27.17,61.54,6.37,68.48,Loam,sweet_potato,PCAARRD ISP – Sweetpotato Industry Profile,https://ispweb.pcaarrd.dost.gov.ph/sweetpotato/,DOST-PCAARRD,PSA – Crops Production Survey (national & regional crop statistics),https://psa.gov.ph/crops-production-survey
73.5,47,58.7,20.7,57.56,6.21,56,Loam,garlic,PCAARRD ISP – Vegetables Industry Profile (garlic),https://ispweb.pcaarrd.dost.gov.ph/vegetables/,DOST-PCAARRD,PSA – Crops Production Survey (national & regional crop statistics),https://psa.gov.ph/crops-production-survey
83.8,46.9,43.7,21.22,58.02,6.99,48.38,Loam,onion,PCAARRD ISP – Vegetables Industry Profile (onion),https://ispweb.pcaarrd.dost.gov.ph/vegetables/,DOST-PCAARRD,PSA – Crops Production Survey (national & regional crop statistics),https://psa.gov.ph/crops-production-survey
56.2,35.7,63.3,25.8,57.63,6.42,56.02,Sandy Loam,tobacco,Department of Agriculture – Official Portal,https://www.da.gov.ph/,Department of Agriculture,PSA – Crops Production Survey (national & regional crop statistics),https://psa.gov.ph/crops-production-survey
39.4,32.9,78.4,24.93,67.38,5.72,69.97,Loam,sweet_potato,PCAARRD ISP – Sweetpotato Industry Profile,https://ispweb.pcaarrd.dost.gov.ph/sweetpotato/,DOST-PCAARRD,PSA – Crops Production Survey (national & regional crop statistics),https://psa.gov.ph/crops-production-survey
57,20.9,88.9,30.94,71.02,6.61,88.14,Sandy Loam,cassava,Department of Agriculture – Official Portal,https://www.da.gov.ph/,Department of Agriculture,PSA – Crops Production Survey (national & regional crop statistics),https://psa.gov.ph/crops-production-survey
54.1,34.2,39.3,28.17,66.15,6.3,65.77,Sandy Loam,okra,PCAARRD ISP – Vegetables Industry Profile,https://ispweb.pcaarrd.dost.gov.ph/vegetables/,DOST-PCAARRD,PSA – Crops Production Survey (national & regional crop statistics),https://psa.gov.ph/crops-production-survey
131.8,58.4,44.1,27.04,72.83,6.6,175.04,Clay Loam,sugarcane,PCAARRD ISP – Sugarcane Industry Profile,https://ispweb.pcaarrd.dost.gov.ph/sugarcane/,DOST-PCAARRD,PSA – Crops Production Survey (national & regional crop statistics),https://psa.gov.ph/crops-production-survey
22.9,15.5,20.3,28.85,83.43,6.1,126.28,Loam,calamansi,Department of Agriculture – Official Portal,https://www.da.gov.ph/,Department of Agriculture,PSA – Crops Production Survey (national & regional crop statistics),https://psa.gov.ph/crops-production-survey
60.5,47.5,49.1,30.23,73.04,5.69,190.74,Sandy Loam,papaya,Department of Agriculture – Official Portal,https://www.da.gov.ph/,Department of Agriculture,PSA – Crops Production Survey (national & regional crop statistics),https://psa.gov.ph/crops-production-survey
52.9,26,89.7,22.75,68.83,5.56,62.17,Loam,tobacco,Department of Agriculture – Official Portal,https://www.da.gov.ph/,Department of Agriculture,PSA – Crops Production Survey (national & regional crop statistics),https://psa.gov.ph/crops-production-survey
35.3,15.9,29.3,31.02,76.21,5.3,240.54,Volcanic Loam,rubber,PCAARRD ISP – Rubber Industry Profile,https://ispweb.pcaarrd.dost.gov.ph/isp-commodities/rubber/,DOST-PCAARRD,PSA – Crops Production Survey (national & regional crop statistics),https://psa.gov.ph/crops-production-survey
62.2,52.1,54.8,24.06,68.09,6.14,107.4,Clay Loam,eggplant,PCAARRD ISP – Vegetables Industry Profile,https://ispweb.pcaarrd.dost.gov.ph/vegetables/,DOST-PCAARRD,PSA – Crops Production Survey (national & regional crop statistics),https://psa.gov.ph/crops-production-survey
21.8,32,20,29.06,70.36,6.4,81.5,Loam,mungbean,PCAARRD ISP – Legumes Industry Profile,https://ispweb.pcaarrd.dost.gov.ph/legumes/,DOST-PCAARRD,PSA – Crops Production Survey (national & regional crop statistics),https://psa.gov.ph/crops-production-survey
91.4,44.4,85,21.27,64.5,6.67,70.58,Sandy Loam,tomato,PCAARRD ISP – Vegetables Industry Profile,https://ispweb.pcaarrd.dost.gov.ph/vegetables/,DOST-PCAARRD,PSA – Crops Production Survey (national & regional crop statistics),https://psa.gov.ph/crops-production-survey
47.1,43.1,30.8,29.69,75.29,6.2,107.27,Clay Loam,ampalaya,PCAARRD ISP – Vegetables Industry Profile,https://ispweb.pcaarrd.dost.gov.ph/vegetables/,DOST-PCAARRD,PSA – Crops Production Survey (national & regional crop statistics),https://psa.gov.ph/crops-production-survey
73.9,40.3,72.2,25.3,86.81,4.93,280.01,Loam,abaca,PCAARRD ISP – Abaca Industry Profile,https://ispweb.pcaarrd.dost.gov.ph/isp-commodities/abaca/,DOST-PCAARRD,PSA – Crops Production Survey (national & regional crop statistics),https://psa.gov.ph/crops-production-survey
43.5,33.1,47.3,25.86,67.58,5.95,66.71,Loam,okra,PCAARRD ISP – Vegetables Industry Profile,https://ispweb.pcaarrd.dost.gov.ph/vegetables/,DOST-PCAARRD,PSA – Crops Production Survey (national & regional crop statistics),https://psa.gov.ph/crops-production-survey
73.5,37.8,65.8,27.84,88.32,5.01,278.9,Clay Loam,abaca,PCAARRD ISP – Abaca Industry Profile,https://ispweb.pcaarrd.dost.gov.ph/isp-commodities/abaca/,DOST-PCAARRD,PSA – Crops Production Survey (national & regional crop statistics),https://psa.gov.ph/crops-production-survey
57.7,38.9,42.7,27.32,67.65,6.32,101.55,Clay Loam,ampalaya,PCAARRD ISP – Vegetables Industry Profile,https://ispweb.pcaarrd.dost.gov.ph/vegetables/,DOST-PCAARRD,PSA – Crops Production Survey (national & regional crop statistics),https://psa.gov.ph/crops-production-survey
106.1,22.6,32.7,22.18,71.86,6.2,177.98,Clay Loam,coffee,PCAARRD ISP – Coffee Industry Profile,https://ispweb.pcaarrd.dost.gov.ph/isp-commodities/coffee/,DOST-PCAARRD,PSA – Crops Production Survey (national & regional crop statistics),https://psa.gov.ph/crops-production-survey
25.7,48,42.3,29.35,67.71,6.36,97.51,Sandy Loam,peanut,PCAARRD ISP – Legumes Industry Profile,https://ispweb.pcaarrd.dost.gov.ph/legumes/,DOST-PCAARRD,PSA – Crops Production Survey (national & regional crop statistics),https://psa.gov.ph/crops-production-survey
122.4,57.3,59.3,34.46,79.78,7.05,161.05,Sandy Loam,sugarcane,PCAARRD ISP – Sugarcane Industry Profile,https://ispweb.pcaarrd.dost.gov.ph/sugarcane/,DOST-PCAARRD,PSA – Crops Production Survey (national & regional crop statistics),https://psa.gov.ph/crops-production-survey
16.4,16.2,18.6,29.9,73.73,5.49,154.11,Loam,calamansi,Department of Agriculture – Official Portal,https://www.da.gov.ph/,Department of Agriculture,PSA – Crops Production Survey (national & regional crop statistics),https://psa.gov.ph/crops-production-survey
45.5,29.3,86.8,26.2,71.1,5.81,140.08,Sandy,cassava,Department of Agriculture – Official Portal,https://www.da.gov.ph/,Department of Agriculture,PSA – Crops Production Survey (national & regional crop statistics),https://psa.gov.ph/crops-production-survey
84.9,60.2,57.6,25.78,77.71,6.66,115.21,Loam,eggplant,PCAARRD ISP – Vegetables Industry Profile,https://ispweb.pcaarrd.dost.gov.ph/vegetables/,DOST-PCAARRD,PSA – Crops Production Survey (national & regional crop statistics),https://psa.gov.ph/crops-production-survey
40.4,57.9,49.1,26.86,89.48,6.37,120.36,Sandy Loam,papaya,Department of Agriculture – Official Portal,https://www.da.gov.ph/,Department of Agriculture,PSA – Crops Production Survey (national & regional crop statistics),https://psa.gov.ph/crops-production-survey
33.9,22.3,24.4,31.78,76.4,5.33,247.3,Clay Loam,rubber,PCAARRD ISP – Rubber Industry Profile,https://ispweb.pcaarrd.dost.gov.ph/isp-commodities/rubber/,DOST-PCAARRD,PSA – Crops Production Survey (national & regional crop statistics),https://psa.gov.ph/crops-production-survey
59.7,46,35.5,30.25,75.13,6.44,62.43,Sandy Loam,okra,PCAARRD ISP – Vegetables Industry Profile,https://ispweb.pcaarrd.dost.gov.ph/vegetables/,DOST-PCAARRD,PSA – Crops Production Survey (national & regional crop statistics),https://psa.gov.ph/crops-production-survey
17.7,14.3,28.8,25.79,83.94,6.57,137.11,Sandy,coconut,PCAARRD ISP – Coconut Industry Profile,https://ispweb.pcaarrd.dost.gov.ph/isp-commodities/coconut/,DOST-PCAARRD,PSA – Crops Production Survey (national & regional crop statistics),https://psa.gov.ph/crops-production-survey
17.9,11.6,31,28.61,87.57,5.03,168.5,Sandy Loam,coconut,PCAARRD ISP – Coconut Industry Profile,https://ispweb.pcaarrd.dost.gov.ph/isp-commodities/coconut/,DOST-PCAARRD,PSA – Crops Production Survey (national & regional crop statistics),https://psa.gov.ph/crops-production-survey
51.5,37.5,70.6,25.4,65.55,5.92,43.64,Sandy Loam,tobacco,Department of Agriculture – Official Portal,https://www.da.gov.ph/,Department of Agriculture,PSA – Crops Production Survey (national & regional crop statistics),https://psa.gov.ph/crops-production-survey
97.7,49.6,22.6,30.19,70.68,6.7,77.71,Sandy Loam,corn,DA – Philippine Yellow Corn Industry Roadmap,https://www.da.gov.ph/wp-content/uploads/2023/05/Philippine-Yellow-Corn-Industry-Roadmap.pdf,Department of Agriculture,PSA – Crops Production Survey (national & regional crop statistics),https://psa.gov.ph/crops-production-survey
103.2,20.5,29.4,24.13,63.46,5.47,157.64,Volcanic Loam,coffee,PCAARRD ISP – Coffee Industry Profile,https://ispweb.pcaarrd.dost.gov.ph/isp-commodities/coffee/,DOST-PCAARRD,PSA – Crops Production Survey (national & regional crop statistics),https://psa.gov.ph/crops-production-survey
84.1,60.5,44.3,26.28,76.75,6.19,59.27,Loam,eggplant,PCAARRD ISP – Vegetables Industry Profile,https://ispweb.pcaarrd.dost.gov.ph/vegetables/,DOST-PCAARRD,PSA – Crops Production Survey (national & regional crop statistics),https://psa.gov.ph/crops-production-survey
19.6,6.3,26.8,24.92,83.01,5.74,160.06,Volcanic Loam,coconut,PCAARRD ISP – Coconut Industry Profile,https://ispweb.pcaarrd.dost.gov.ph/isp-commodities/coconut/,DOST-PCAARRD,PSA – Crops Production Survey (national & regional crop statistics),https://psa.gov.ph/crops-production-survey
101.5,32.4,29.2,22.47,62.34,4.96,218.57,Volcanic Loam,coffee,PCAARRD ISP – Coffee Industry Profile,https://ispweb.pcaarrd.dost.gov.ph/isp-commodities/coffee/,DOST-PCAARRD,PSA – Crops Production Survey (national & regional crop statistics),https://psa.gov.ph/crops-production-survey
17.5,14.6,19.4,28.89,77.31,5.63,170.31,Sandy Loam,calamansi,Department of Agriculture – Official Portal,https://www.da.gov.ph/,Department of Agriculture,PSA – Crops Production Survey (national & regional crop statistics),https://psa.gov.ph/crops-production-survey
104.5,25.4,28.3,26.19,76.04,5.91,214.56,Clay Loam,coffee,PCAARRD ISP – Coffee Industry Profile,https://ispweb.pcaarrd.dost.gov.ph/isp-commodities/coffee/,DOST-PCAARRD,PSA – Crops Production Survey (national & regional crop statistics),https://psa.gov.ph/crops-production-survey
52,15.3,79.5,28.62,77.15,4.77,98.05,Clay Loam,pineapple,PCAARRD ISP – Queen Pineapple Industry Profile,https://ispweb.pcaarrd.dost.gov.ph/queen-pineapple/,DOST-PCAARRD,PSA – Crops Production Survey (national & regional crop statistics),https://psa.gov.ph/crops-production-survey
89.1,49.4,46.2,31.36,89.87,6.79,207.78,Loam,cacao,PCAARRD ISP – Cacao Industry Profile,https://ispweb.pcaarrd.dost.gov.ph/isp-commodities/cacao/,DOST-PCAARRD,PSA – Crops Production Survey (national & regional crop statistics),https://psa.gov.ph/crops-production-survey
50.4,34.2,61.4,22.58,61.89,6.71,74.35,Sandy Loam,sweet_potato,PCAARRD ISP – Sweetpotato Industry Profile,https://ispweb.pcaarrd.dost.gov.ph/sweetpotato/,DOST-PCAARRD,PSA – Crops Production Survey (national & regional crop statistics),https://psa.gov.ph/crops-production-survey
131.7,40.9,55.1,34.76,76.11,7.09,109.53,Sandy Loam,sugarcane,PCAARRD ISP – Sugarcane Industry Profile,https://ispweb.pcaarrd.dost.gov.ph/sugarcane/,DOST-PCAARRD,PSA – Crops Production Survey (national & regional crop statistics),https://psa.gov.ph/crops-production-survey
90.7,56,21.1,27.96,63.64,5.69,101.24,Loam,corn,DA – Philippine Yellow Corn Industry Roadmap,https://www.da.gov.ph/wp-content/uploads/2023/05/Philippine-Yellow-Corn-Industry-Roadmap.pdf,Department of Agriculture,PSA – Crops Production Survey (national & regional crop statistics),https://psa.gov.ph/crops-production-survey
120.3,44.4,40.5,23.79,85.43,6,256.03,Clay,rice,PCAARRD ISP – Rice Industry Profile,https://ispweb.pcaarrd.dost.gov.ph/isp-commodities/rice/,DOST-PCAARRD,PSA – Crops Production Survey (national & regional crop statistics),https://psa.gov.ph/crops-production-survey
19.4,45.1,46.2,26.97,55.36,5.67,60.34,Sandy,peanut,PCAARRD ISP – Legumes Industry Profile,https://ispweb.pcaarrd.dost.gov.ph/legumes/,DOST-PCAARRD,PSA – Crops Production Survey (national & regional crop statistics),https://psa.gov.ph/crops-production-survey
16.3,21.2,30.3,31.15,67.41,6.35,90.31,Clay Loam,mango,PCAARRD ISP – Mango Industry Profile,https://ispweb.pcaarrd.dost.gov.ph/isp-commodities/mango/,DOST-PCAARRD,PSA – Crops Production Survey (national & regional crop statistics),https://psa.gov.ph/crops-production-survey
19.5,8.8,27.9,31.69,93.8,5.11,132.89,Sandy,coconut,PCAARRD ISP – Coconut Industry Profile,https://ispweb.pcaarrd.dost.gov.ph/isp-commodities/coconut/,DOST-PCAARRD,PSA – Crops Production Survey (national & regional crop statistics),https://psa.gov.ph/crops-production-survey
44.4,35.2,61.6,27.46,62.31,6.31,84.15,Sandy Loam,tobacco,Department of Agriculture – Official Portal,https://www.da.gov.ph/,Department of Agriculture,PSA – Crops Production Survey (national & regional crop statistics),https://psa.gov.ph/crops-production-survey
75.8,55.9,67.3,24.79,64.7,6.75,76.53,Loam,tomato,PCAARRD ISP – Vegetables Industry Profile,https://ispweb.pcaarrd.dost.gov.ph/vegetables/,DOST-PCAARRD,PSA – Crops Production Survey (national & regional crop statistics),https://psa.gov.ph/crops-production-survey
89,43.9,44.7,20.98,55.52,6.78,51.09,Loam,onion,PCAARRD ISP – Vegetables Industry Profile (onion),https://ispweb.pcaarrd.dost.gov.ph/vegetables/,DOST-PCAARRD,PSA – Crops Production Survey (national & regional crop statistics),https://psa.gov.ph/crops-production-survey
96.8,25.9,34.3,20.02,75.28,5.61,191.21,Volcanic Loam,coffee,PCAARRD ISP – Coffee Industry Profile,https://ispweb.pcaarrd.dost.gov.ph/isp-commodities/coffee/,DOST-PCAARRD,PSA – Crops Production Survey (national & regional crop statistics),https://psa.gov.ph/crops-production-survey
18.1,47.9,24.6,29.7,75.69,6,48.81,Loam,mungbean,PCAARRD ISP – Legumes Industry Profile,https://ispweb.pcaarrd.dost.gov.ph/legumes/,DOST-PCAARRD,PSA – Crops Production Survey (national & regional crop statistics),https://psa.gov.ph/crops-production-survey
