soil_moisture,soil_temperature,air_temperature,humidity,ph,nitrogen,phosphorus,potassium,crop
37.43,19.21,21.27,64.5,6.67,91.4,44.4,85.0,tomato
46.5,29.07,29.69,75.29,6.2,47.1,43.1,30.8,ampalaya
89.17,23.32,25.3,86.81,4.93,73.9,40.3,72.2,abaca
36.48,24.24,25.86,67.58,5.95,43.5,33.1,47.3,okra
88.89,26.86,27.84,88.32,5.01,73.5,37.8,65.8,abaca
45.08,26.48,27.32,67.65,6.32,57.7,38.9,42.7,ampalaya
63.96,21.5,22.18,71.86,6.2,106.1,22.6,32.7,coffee
44.09,27.4,29.35,67.71,6.36,25.7,48.0,42.3,peanut
59.78,33.55,34.46,79.78,7.05,122.4,57.3,59.3,sugarcane
58.07,28.81,29.9,73.73,5.49,16.4,16.2,18.6,calamansi
54.6,24.91,26.2,71.1,5.81,45.5,29.3,86.8,cassava
48.46,24.95,25.78,77.71,6.66,84.9,60.2,57.6,eggplant
49.73,25.48,26.86,89.48,6.37,40.4,57.9,49.1,papaya
81.09,30.51,31.78,76.4,5.33,33.9,22.3,24.4,rubber
35.42,27.81,30.25,75.13,6.44,59.7,46.0,35.5,okra
53.87,25.19,25.79,83.94,6.57,17.7,14.3,28.8,coconut
61.62,27.63,28.61,87.57,5.03,17.9,11.6,31.0,coconut
30.78,24.77,25.4,65.55,5.92,51.5,37.5,70.6,tobacco
39.2,28.24,30.19,70.68,6.7,97.7,49.6,22.6,corn
58.94,22.21,24.13,63.46,5.47,103.2,20.5,29.4,coffee
34.64,24.53,26.28,76.75,6.19,84.1,60.5,44.3,eggplant
59.54,23.06,24.92,83.01,5.74,19.6,6.3,26.8,coconut
73.99,20.8,22.47,62.34,4.96,101.5,32.4,29.2,coffee
62.07,26.78,28.89,77.31,5.63,17.5,14.6,19.4,calamansi
73.0,23.99,26.19,76.04,5.91,104.5,25.4,28.3,coffee
44.22,27.99,28.62,77.15,4.77,52.0,15.3,79.5,pineapple
71.33,29.42,31.36,89.87,6.79,89.1,49.4,46.2,cacao
38.37,20.36,22.58,61.89,6.71,50.4,34.2,61.4,sweet_potato
47.06,33.86,34.76,76.11,7.09,131.7,40.9,55.1,sugarcane
45.01,27.41,27.96,63.64,5.69,90.7,56.0,21.1,corn
83.24,21.92,23.79,85.43,6.0,120.3,44.4,40.5,rice
34.91,25.18,26.97,55.36,5.67,19.4,45.1,46.2,peanut
42.31,30.51,31.15,67.41,6.35,16.3,21.2,30.3,mango
52.83,30.15,31.69,93.8,5.11,19.5,8.8,27.9,coconut
40.79,26.66,27.46,62.31,6.31,44.4,35.2,61.6,tobacco
38.9,22.93,24.79,64.7,6.75,75.8,55.9,67.3,tomato
32.62,19.32,20.98,55.52,6.78,89.0,43.9,44.7,onion
67.23,18.64,20.02,75.28,5.61,96.8,25.9,34.3,coffee
32.06,27.77,29.7,75.69,6.0,18.1,47.9,24.6,mungbean
31.74,26.93,27.88,74.1,6.77,22.4,33.9,21.9,mungbean
36.63,20.58,21.35,61.01,6.73,81.3,47.8,44.8,onion
34.41,28.38,29.68,70.22,5.96,19.3,41.2,46.3,peanut
42.86,24.9,26.03,65.84,6.42,88.6,58.2,49.2,eggplant
79.64,23.43,25.33,84.72,6.48,81.2,34.7,53.8,cacao
37.83,27.23,29.17,71.08,6.27,18.5,50.3,30.1,mungbean
45.9,30.03,31.69,78.1,6.62,53.9,47.4,47.1,papaya
63.52,24.87,26.9,81.08,6.07,56.6,62.6,48.8,papaya
36.21,28.07,29.16,65.68,5.62,19.0,37.6,38.5,peanut
69.41,25.54,27.06,82.72,6.46,84.8,40.6,47.9,cacao
38.47,29.23,31.41,64.52,6.06,55.8,44.3,34.5,okra
36.02,21.17,23.12,66.93,5.69,68.3,46.6,55.1,eggplant
73.28,19.89,22.36,72.4,6.18,99.9,16.0,27.7,coffee
43.7,23.17,25.67,65.86,6.34,53.7,41.3,30.7,ampalaya
39.19,26.91,28.2,63.0,5.7,59.9,30.2,76.9,tobacco
40.97,27.72,28.23,72.01,6.03,52.0,43.3,33.3,ampalaya
82.2,27.82,29.3,78.34,6.47,77.0,41.1,57.3,cacao
47.38,25.02,25.69,77.28,6.19,114.9,58.8,50.6,sugarcane
36.12,28.91,30.82,70.74,6.75,51.8,44.6,33.0,okra
42.23,26.69,28.33,79.27,6.1,56.6,47.6,46.7,ampalaya
37.97,25.28,26.81,65.93,5.68,46.4,33.3,87.0,sweet_potato
35.83,25.01,26.68,62.58,6.8,16.9,16.2,25.8,mango
36.49,30.74,31.65,62.34,6.95,15.2,20.7,25.0,mango
32.76,25.05,26.52,74.03,5.91,86.6,48.3,81.2,tomato
43.51,22.08,24.15,71.43,6.42,46.1,27.1,80.9,sweet_potato
44.16,23.47,24.44,66.92,6.05,54.6,35.3,46.8,okra
64.59,27.28,28.89,79.75,6.42,50.9,44.4,51.6,papaya
42.46,23.66,24.55,74.17,4.87,43.3,15.5,69.7,pineapple
82.46,27.43,28.97,77.63,6.83,87.4,34.3,52.6,cacao
35.17,26.99,28.67,60.86,6.16,56.7,25.3,81.9,tobacco
77.41,28.44,29.75,93.5,5.86,83.1,34.8,63.9,abaca
37.51,24.1,25.39,74.27,6.73,87.3,52.0,23.8,corn
34.71,23.48,24.14,60.49,6.02,66.4,30.9,42.1,onion
48.82,24.77,25.63,65.6,6.28,30.3,39.5,88.5,sweet_potato
41.85,24.55,25.52,61.22,5.58,52.3,24.4,62.4,tobacco
55.68,24.89,25.63,87.51,5.74,100.5,71.7,49.8,banana
43.19,25.18,27.51,64.87,6.73,48.5,29.7,82.3,sweet_potato
47.4,26.26,28.49,78.75,6.68,62.6,49.8,51.0,eggplant
31.84,21.34,23.79,66.15,6.17,83.8,41.7,54.4,garlic
76.01,25.42,27.09,80.39,6.05,15.5,9.0,33.9,coconut
51.54,28.36,29.52,74.61,5.64,23.5,11.5,22.7,calamansi
70.34,22.93,24.86,85.56,6.39,65.5,32.3,44.9,cacao
43.0,30.12,30.81,54.17,6.57,48.2,39.4,81.0,cassava
55.12,23.83,24.46,86.0,6.38,46.7,44.1,48.1,papaya
38.58,28.5,29.3,74.57,6.06,25.2,39.9,22.1,mungbean
47.97,23.39,25.82,74.53,5.76,74.6,49.7,50.3,eggplant
48.67,25.84,27.04,75.84,6.02,49.3,39.6,61.4,sweet_potato
58.59,27.27,28.2,83.6,5.94,25.4,23.5,30.5,rubber
38.97,20.28,21.94,60.9,5.57,77.6,47.3,88.9,tomato
74.19,25.86,28.16,86.72,5.61,36.1,19.0,30.9,rubber
31.68,21.04,22.21,61.18,5.93,82.5,47.6,43.2,garlic
61.46,24.16,25.55,70.05,7.44,133.3,50.8,48.0,sugarcane
37.55,24.24,26.65,60.63,6.65,65.9,54.3,68.7,tomato
37.17,25.21,26.09,55.53,6.16,79.0,33.4,58.5,onion
43.49,22.71,25.21,58.43,5.05,56.4,23.7,82.5,cassava
57.55,25.39,27.83,86.87,6.09,18.0,9.4,32.7,coconut
33.66,27.89,28.46,60.47,6.07,42.0,36.9,41.1,okra
79.92,20.13,21.41,64.4,6.04,104.5,21.9,25.4,coffee
59.03,20.86,22.04,63.51,5.37,109.6,24.9,26.4,coffee
95.0,28.68,31.12,89.01,5.49,67.1,25.3,76.8,abaca
43.16,27.23,28.48,68.67,7.23,87.5,54.0,21.4,corn
34.42,27.76,28.41,54.49,5.98,26.9,38.7,30.9,peanut
45.93,30.88,31.42,74.13,5.51,21.1,15.6,18.8,calamansi
92.94,25.2,27.27,88.17,5.06,64.0,25.5,76.3,abaca
36.09,34.82,35.39,55.58,6.02,23.4,22.8,25.5,mango
74.84,28.31,30.34,77.14,5.7,111.8,52.6,43.2,rice
42.3,28.45,30.04,53.14,7.33,16.1,23.2,24.4,mango
33.34,21.24,21.75,68.9,6.3,64.4,51.1,50.6,garlic
44.4,25.03,26.3,71.29,6.63,80.2,46.0,81.9,tomato
48.93,29.01,30.12,91.56,6.26,20.3,11.3,31.0,coconut
50.61,27.42,29.73,76.07,7.38,126.3,49.6,42.0,sugarcane
41.81,24.09,25.34,67.71,5.75,89.7,51.1,20.5,corn
65.37,25.7,27.36,74.33,6.61,115.6,40.1,56.8,sugarcane
34.77,24.48,26.28,59.67,6.49,44.4,28.5,76.8,tobacco
40.96,30.16,31.42,65.2,6.25,43.7,34.5,30.3,ampalaya
64.54,29.88,31.51,93.3,7.05,22.2,9.2,26.1,coconut
52.48,29.05,30.97,60.59,7.36,108.5,40.5,52.0,sugarcane
44.9,28.76,29.42,50.39,6.49,21.3,16.8,31.5,mango
56.63,23.71,25.72,81.85,5.55,20.0,8.4,30.4,coconut
45.22,30.96,31.67,51.08,6.19,23.7,21.6,32.7,mango
29.18,21.5,22.0,60.75,6.57,68.2,44.2,46.2,onion
75.46,25.26,26.71,82.02,6.42,63.2,40.3,56.7,cacao
42.38,29.42,30.24,80.07,6.39,47.4,34.1,44.9,ampalaya
54.88,28.02,30.15,89.13,5.53,15.8,10.6,31.4,coconut
61.15,33.26,34.85,70.59,5.82,121.1,47.6,41.8,sugarcane
30.32,25.36,26.08,65.48,6.61,81.7,44.1,53.3,onion
32.75,25.5,26.68,68.75,6.31,40.3,36.9,47.6,okra
84.57,23.47,25.56,81.76,6.48,68.2,37.3,78.2,abaca
30.8,25.31,27.63,62.45,6.08,16.9,35.3,27.3,mungbean
42.46,26.77,27.49,72.41,6.33,47.5,37.3,47.3,ampalaya
83.35,26.57,28.89,85.17,6.98,107.6,44.7,43.4,rice
40.44,22.1,24.35,64.2,6.47,52.1,36.5,61.3,tobacco
37.3,25.73,27.52,58.0,6.49,21.5,46.7,25.1,mungbean
58.03,31.51,33.89,76.95,6.98,113.5,60.2,47.4,sugarcane
37.28,22.1,23.56,71.2,6.0,75.8,54.2,85.5,tomato
89.46,25.11,26.35,87.3,5.74,71.4,26.4,61.9,abaca
70.31,27.99,28.8,81.17,4.66,36.6,15.9,27.0,rubber
75.93,24.31,26.09,77.33,5.72,102.4,46.6,43.6,rice
76.53,31.6,32.31,81.7,5.42,21.1,14.2,33.7,coconut
39.85,22.08,22.67,57.96,6.28,66.4,34.1,83.8,tobacco
31.88,25.25,27.49,56.09,6.2,69.3,26.0,68.5,tobacco
44.01,28.49,29.32,73.26,6.63,47.5,45.2,45.7,okra
33.84,22.48,24.19,62.61,6.36,23.2,42.8,42.2,peanut
35.68,25.19,26.73,67.38,6.06,43.4,28.9,77.0,sweet_potato
76.04,26.28,27.29,84.42,5.91,64.4,19.9,80.0,abaca
38.33,24.67,25.74,67.86,6.69,14.8,45.3,20.5,mungbean
29.54,20.73,23.19,64.66,6.18,80.5,38.7,39.9,onion
51.45,28.64,29.77,65.25,5.73,48.8,35.5,76.2,cassava
37.31,24.33,25.05,56.33,5.95,14.8,29.5,35.9,peanut
66.9,25.8,26.71,70.64,6.53,141.1,58.1,58.7,sugarcane
51.29,24.07,25.18,62.48,6.68,129.4,49.3,49.7,sugarcane
60.15,26.34,27.43,82.45,6.12,15.1,5.6,28.0,coconut
42.31,31.13,32.03,63.48,6.35,52.4,42.5,46.8,okra
46.1,23.06,24.53,77.1,6.58,131.3,57.7,41.0,sugarcane
41.92,29.8,30.31,63.44,5.26,49.5,34.5,89.7,cassava
36.24,23.46,24.63,66.92,6.59,78.5,56.1,55.1,eggplant
72.54,30.27,30.8,91.58,6.54,20.8,9.4,28.9,coconut
58.51,25.15,26.73,88.55,5.52,26.1,16.9,24.7,rubber
41.17,22.62,24.12,76.51,6.63,52.5,34.9,35.6,ampalaya
32.96,24.95,25.51,64.94,6.57,77.3,32.5,41.7,garlic
49.77,24.54,25.93,64.29,5.5,74.7,42.0,57.3,eggplant
77.67,17.89,19.79,59.83,5.72,91.8,27.4,31.0,coffee
77.32,26.71,29.1,82.66,5.49,68.5,20.1,64.1,abaca
52.82,29.23,29.74,60.71,7.25,138.1,55.4,54.8,sugarcane
77.95,23.94,25.07,77.49,4.56,37.5,19.3,25.8,rubber
38.09,25.62,27.94,66.59,6.37,19.2,30.2,26.7,mungbean
36.37,28.51,29.63,74.2,6.37,42.1,22.5,82.9,cassava
34.53,26.23,28.35,77.73,6.47,50.3,49.8,47.4,ampalaya
42.58,31.31,32.0,69.56,5.79,20.1,21.6,28.8,mango
51.63,27.38,29.41,55.35,5.54,47.5,33.7,71.6,cassava
77.84,26.18,28.33,89.13,5.84,86.3,29.7,68.3,abaca
37.81,24.33,26.37,61.47,5.92,63.8,58.5,85.8,tomato
36.18,26.63,27.36,73.6,6.73,22.6,30.3,20.9,mungbean
35.7,23.13,24.16,67.79,6.74,45.5,46.6,41.0,ampalaya
88.97,29.37,29.9,92.94,6.13,70.9,22.2,79.5,abaca
36.3,25.03,25.75,68.83,6.03,43.1,39.8,43.4,ampalaya
39.65,27.1,28.93,71.81,5.59,82.5,49.5,24.4,corn
54.46,27.61,29.69,91.59,7.8,22.8,12.4,27.8,coconut
32.58,21.44,23.4,59.38,6.88,75.1,48.4,47.2,onion
55.09,28.72,29.29,61.61,6.17,136.3,47.2,59.5,sugarcane
74.14,30.5,31.82,79.13,5.97,22.2,26.8,22.8,rubber
61.18,25.27,26.71,83.98,6.67,63.3,48.6,45.9,cacao
50.09,30.28,32.59,79.8,6.11,120.0,41.9,47.4,sugarcane
31.53,29.7,31.79,70.59,6.89,24.4,42.1,22.8,mungbean
32.79,22.99,24.31,55.04,5.82,45.1,30.9,78.8,tobacco
59.52,22.78,24.67,79.66,5.92,75.1,47.0,53.3,cacao
43.14,24.27,25.44,55.81,5.24,48.8,31.6,60.9,cassava
34.45,20.83,23.1,67.58,6.03,67.2,41.2,57.4,garlic
84.07,25.17,25.72,84.24,4.96,84.4,40.8,77.0,abaca
31.18,21.98,23.49,55.21,6.17,58.5,28.0,65.5,tobacco
30.15,17.81,19.2,58.45,6.89,90.5,36.6,50.2,onion
55.32,25.4,26.72,71.71,5.24,47.4,18.8,73.0,pineapple
50.24,26.38,27.36,85.41,6.18,92.3,89.4,52.4,banana
52.27,23.59,25.66,69.2,4.9,42.0,29.4,89.9,pineapple
64.18,28.92,31.42,87.38,5.98,114.2,72.8,53.9,banana
32.07,25.15,26.98,60.22,6.43,19.2,49.0,22.8,mungbean
27.88,24.34,25.85,59.28,6.33,60.8,41.6,48.9,onion
30.42,22.36,24.32,61.95,6.04,63.3,59.5,84.1,tomato
43.99,25.65,26.16,65.8,5.64,26.6,46.1,33.2,peanut
59.78,30.5,31.34,77.25,6.59,119.7,71.3,48.6,banana
41.11,32.02,33.33,61.49,5.99,20.3,21.2,26.4,mango
62.69,29.57,30.99,82.25,5.77,88.3,48.7,41.2,rice
73.35,29.09,29.81,89.22,6.42,95.1,48.6,42.1,rice
35.86,24.73,26.56,65.3,6.89,19.0,17.2,24.8,mango
84.08,28.74,30.9,81.71,6.05,89.4,48.5,40.2,rice
47.3,23.47,24.74,72.34,6.82,46.0,34.6,62.6,sweet_potato
36.82,26.79,27.93,58.22,6.05,85.7,46.1,42.8,onion
72.13,25.15,26.45,85.6,5.5,27.5,18.8,31.6,rubber
62.89,26.18,26.93,72.17,6.33,90.1,21.0,34.1,coffee
39.4,27.57,29.63,60.81,5.88,86.6,42.3,21.7,corn
56.41,29.31,30.89,72.33,7.33,125.0,47.6,56.5,sugarcane
63.82,24.19,25.52,75.91,6.08,88.0,32.1,43.0,cacao
47.29,24.41,26.09,85.82,5.87,108.2,79.8,47.9,banana
36.19,21.76,23.4,59.75,5.84,69.4,36.4,88.1,tobacco
87.22,26.21,27.92,86.81,5.51,74.0,29.4,70.9,abaca
42.63,29.22,30.84,78.42,6.31,47.7,38.4,40.1,ampalaya
41.36,28.07,29.08,57.15,7.38,20.1,18.7,30.5,mango
32.38,26.59,28.35,69.33,6.35,86.5,47.8,43.4,onion
65.27,28.01,30.31,66.37,7.16,130.5,58.6,50.8,sugarcane
60.26,30.47,31.02,76.39,6.23,74.9,48.3,59.6,cacao
62.59,29.24,30.36,85.99,6.65,42.5,63.7,48.3,papaya
37.71,27.56,28.86,67.54,5.66,14.8,35.1,44.7,peanut
43.95,27.74,29.85,65.21,7.15,128.4,51.9,59.7,sugarcane
34.05,25.11,26.66,61.29,6.1,85.2,38.6,55.3,garlic
33.63,22.3,22.83,56.28,6.2,64.3,41.9,41.8,onion
56.7,25.74,26.66,85.28,6.07,15.6,8.4,28.3,coconut
89.51,27.15,28.64,83.91,5.83,117.0,49.7,44.0,rice
60.61,28.03,29.18,87.25,6.06,90.6,97.0,46.9,banana
57.57,29.86,31.08,73.55,6.68,102.7,49.8,51.5,sugarcane
82.81,21.8,24.28,77.44,6.33,82.5,55.9,44.3,rice
35.79,25.02,26.83,68.58,5.91,41.9,34.9,90.2,cassava
30.55,25.46,27.78,55.07,6.69,78.0,34.5,57.7,onion
46.31,22.57,24.61,78.65,5.14,58.1,17.1,63.2,pineapple
53.92,22.91,25.3,74.16,5.08,40.5,28.3,71.3,pineapple
47.55,30.09,31.61,77.31,6.25,56.6,38.8,36.9,ampalaya
50.26,27.7,29.3,73.39,5.56,50.3,20.9,88.8,pineapple
82.29,28.48,30.66,88.95,5.22,64.5,31.0,76.0,abaca
38.74,27.12,29.23,60.77,7.46,98.0,41.9,20.7,corn
40.97,35.55,36.06,51.17,7.43,21.4,16.0,29.9,mango
63.64,26.5,28.85,74.95,5.72,19.9,12.0,15.1,calamansi
49.45,27.59,28.19,73.05,6.04,15.7,17.2,15.7,calamansi
48.16,28.7,30.42,79.5,5.68,93.0,99.3,50.0,banana
48.61,23.2,24.31,66.93,6.59,49.4,28.3,60.3,sweet_potato
78.26,29.92,31.69,85.76,6.31,70.5,22.2,60.0,abaca
35.08,30.93,32.12,69.23,6.65,45.5,35.0,47.8,ampalaya
38.34,26.76,28.22,59.02,6.53,15.3,18.7,29.9,mango
60.58,25.28,26.8,84.95,6.18,114.7,53.9,41.6,rice
35.82,21.49,23.86,59.1,6.15,66.2,30.6,44.7,garlic
63.22,23.54,25.84,75.76,6.01,23.1,20.4,13.8,calamansi
72.42,26.92,28.11,94.94,5.81,63.7,25.0,74.9,abaca
66.18,28.08,29.73,86.58,6.04,48.6,60.5,48.6,papaya
58.63,28.76,29.6,79.36,6.66,105.2,90.7,48.8,banana
74.09,30.42,31.51,84.31,4.71,36.8,20.3,30.4,rubber
49.0,26.35,27.18,79.16,6.65,58.4,33.0,43.6,ampalaya
74.13,25.63,26.35,83.22,6.0,17.8,12.6,31.0,coconut
39.24,23.56,24.45,61.42,5.91,88.2,45.4,76.8,tomato
32.05,20.5,22.93,59.6,6.02,62.7,31.1,40.7,onion
55.02,30.77,32.71,68.22,5.85,105.8,48.8,42.6,sugarcane
35.9,25.01,26.13,65.26,6.42,51.8,44.4,31.5,okra
67.99,31.13,32.68,61.53,5.81,107.0,55.0,54.4,sugarcane
36.6,25.05,26.69,70.89,6.88,83.1,55.6,51.1,eggplant
42.35,21.26,23.1,71.17,6.04,70.2,54.3,76.9,tomato
38.75,20.92,22.76,64.88,6.27,53.4,23.2,86.5,tobacco
94.34,23.73,25.52,81.17,5.26,60.2,30.8,88.6,abaca
32.29,26.75,28.88,73.01,6.91,21.1,32.2,28.3,mungbean
54.24,29.91,31.85,90.96,5.28,15.3,14.2,28.7,coconut
28.71,18.92,21.08,62.42,6.32,64.6,38.2,61.4,onion
47.61,29.22,30.93,90.5,6.06,95.8,80.0,55.6,banana
41.24,29.06,30.88,60.14,6.5,19.3,25.9,33.7,mango
54.47,28.35,29.29,65.95,5.86,112.6,44.6,43.5,sugarcane
60.19,27.48,28.2,74.8,5.94,46.1,53.1,51.4,papaya
34.44,28.31,28.97,66.78,6.57,58.1,48.3,37.2,ampalaya
71.31,23.38,24.56,81.3,6.37,19.9,13.5,32.6,coconut
49.57,29.74,31.48,80.0,6.01,17.6,14.6,15.7,calamansi
37.14,28.12,28.62,71.54,6.54,21.3,50.6,23.3,mungbean
32.73,27.29,28.35,62.49,5.52,66.1,34.6,85.4,tobacco
69.4,25.74,26.74,80.04,5.48,28.8,27.5,22.2,rubber
76.43,25.24,26.51,82.9,6.22,93.3,48.7,44.2,rice
51.03,24.84,26.23,70.8,6.13,21.7,15.5,21.8,calamansi
53.82,30.56,31.38,79.2,6.03,21.0,10.3,18.2,calamansi
65.46,23.33,25.08,82.28,6.04,44.7,46.4,48.9,papaya
36.37,29.43,30.73,74.61,7.36,82.7,47.2,20.8,corn
59.88,24.76,26.87,85.63,6.09,80.8,39.5,51.6,cacao
60.24,24.42,26.88,77.69,5.74,96.4,15.1,30.9,coffee
52.48,22.53,24.53,82.29,7.38,20.7,8.8,27.7,coconut
27.37,19.3,20.92,65.84,6.71,69.5,39.8,54.0,garlic
39.83,25.57,27.55,59.9,5.9,26.5,32.2,29.9,peanut
60.85,30.87,31.38,79.2,5.57,42.8,57.3,54.5,papaya
74.35,26.94,28.98,83.94,5.88,74.7,50.4,55.7,cacao
63.46,27.8,30.08,63.44,5.73,108.6,48.3,47.9,sugarcane
35.74,24.31,26.64,71.99,6.69,44.9,22.0,80.3,sweet_potato
46.1,29.77,30.69,83.5,5.46,19.5,12.5,22.3,calamansi
62.76,28.72,29.41,81.11,5.82,23.2,15.5,33.1,rubber
35.35,25.31,27.4,53.11,6.58,15.9,25.0,34.5,mango
81.22,28.44,29.01,86.68,5.49,16.5,12.0,31.2,coconut
63.01,25.72,26.89,71.4,6.33,106.3,24.6,35.0,coffee
63.88,29.16,30.45,77.31,5.08,22.6,25.2,34.3,rubber
42.22,29.89,30.91,52.7,6.26,21.0,19.1,33.9,mango
58.33,26.6,27.12,66.83,5.19,104.2,16.2,27.6,coffee
66.7,28.92,30.61,75.69,4.57,38.1,24.3,28.9,rubber
51.02,24.57,25.39,60.76,6.23,50.7,30.9,84.0,cassava
50.55,25.37,27.77,77.21,5.89,18.3,18.5,20.3,calamansi
42.34,27.31,28.73,62.86,6.03,61.0,48.9,34.7,okra
63.03,25.4,26.62,80.67,6.08,92.8,56.8,40.2,rice
69.09,19.89,20.54,62.15,5.39,102.2,27.7,35.0,coffee
36.13,25.71,28.18,69.67,6.96,17.0,47.7,25.6,mungbean
32.44,19.0,21.0,63.05,6.77,68.6,47.0,52.8,garlic
71.55,25.48,26.38,84.14,6.03,73.1,35.1,67.5,abaca
66.07,19.48,21.4,66.9,5.18,103.2,18.0,28.7,coffee
56.69,31.34,32.22,79.49,5.53,23.4,11.5,20.1,calamansi
66.66,28.41,30.48,88.32,6.19,80.9,56.4,40.2,rice
55.69,32.04,34.08,66.14,5.9,108.1,51.8,58.4,sugarcane
35.35,29.39,31.63,68.72,6.55,23.1,49.0,28.6,mungbean
28.75,26.24,27.54,68.82,6.52,80.7,41.4,61.3,garlic
50.68,27.48,28.55,73.79,6.47,79.4,58.2,47.3,eggplant
63.98,26.22,28.33,80.4,6.77,83.9,39.5,45.6,cacao
36.7,27.96,29.31,71.47,6.68,86.9,40.7,22.4,corn
59.83,27.51,29.83,81.88,6.12,45.8,61.5,50.7,papaya
39.26,27.33,28.36,53.29,5.93,21.1,20.6,28.2,mango
41.5,25.71,27.45,59.73,5.75,24.0,47.0,46.1,peanut
31.6,24.5,26.59,63.53,6.39,79.8,34.1,45.9,garlic
77.06,26.69,27.34,92.43,6.8,17.7,7.9,28.2,coconut
35.09,31.81,32.35,68.98,6.22,23.6,22.0,30.6,mango
35.59,27.62,28.81,63.36,6.19,19.1,33.5,27.2,mungbean
