N,P,K,temperature,humidity,ph,label,fertilizer
120.3,44.4,40.5,23.79,85.43,6.0,rice,Complete (14-14-14)
19.4,45.1,46.2,26.97,55.36,5.67,peanut,Ammonium Phosphate (16-20-0)
16.3,21.2,30.3,31.15,67.41,6.35,mango,Complete (14-14-14)
19.5,8.8,27.9,31.69,93.8,5.11,coconut,Muriate of Potash (0-0-60)
44.4,35.2,61.6,27.46,62.31,6.31,tobacco,Ammonium Sulfate (21-0-0)
75.8,55.9,67.3,24.79,64.7,6.75,tomato,Complete (14-14-14)
89.0,43.9,44.7,20.98,55.52,6.78,onion,Complete (14-14-14)
96.8,25.9,34.3,20.02,75.28,5.61,coffee,Complete (14-14-14)
18.1,47.9,24.6,29.7,75.69,6.0,mungbean,Ammonium Phosphate (16-20-0)
22.4,33.9,21.9,27.88,74.1,6.77,mungbean,Ammonium Phosphate (16-20-0)
81.3,47.8,44.8,21.35,61.01,6.73,onion,Complete (14-14-14)
19.3,41.2,46.3,29.68,70.22,5.96,peanut,Ammonium Phosphate (16-20-0)
88.6,58.2,49.2,26.03,65.84,6.42,eggplant,Complete (14-14-14)
81.2,34.7,53.8,25.33,84.72,6.48,cacao,Complete (14-14-14)
18.5,50.3,30.1,29.17,71.08,6.27,mungbean,Ammonium Phosphate (16-20-0)
53.9,47.4,47.1,31.69,78.1,6.62,papaya,Complete (14-14-14)
56.6,62.6,48.8,26.9,81.08,6.07,papaya,Complete (14-14-14)
19.0,37.6,38.5,29.16,65.68,5.62,peanut,Ammonium Phosphate (16-20-0)
84.8,40.6,47.9,27.06,82.72,6.46,cacao,Complete (14-14-14)
55.8,44.3,34.5,31.41,64.52,6.06,okra,Complete (14-14-14)
68.3,46.6,55.1,23.12,66.93,5.69,eggplant,Complete (14-14-14)
99.9,16.0,27.7,22.36,72.4,6.18,coffee,Complete (14-14-14)
53.7,41.3,30.7,25.67,65.86,6.34,ampalaya,Complete (14-14-14)
59.9,30.2,76.9,28.2,63.0,5.7,tobacco,Ammonium Sulfate (21-0-0)
52.0,43.3,33.3,28.23,72.01,6.03,ampalaya,Complete (14-14-14)
77.0,41.1,57.3,29.3,78.34,6.47,cacao,Complete (14-14-14)
114.9,58.8,50.6,25.69,77.28,6.19,sugarcane,Urea (46-0-0)
51.8,44.6,33.0,30.82,70.74,6.75,okra,Complete (14-14-14)
56.6,47.6,46.7,28.33,79.27,6.1,ampalaya,Complete (14-14-14)
46.4,33.3,87.0,26.81,65.93,5.68,sweet_potato,Muriate of Potash (0-0-60)
16.9,16.2,25.8,26.68,62.58,6.8,mango,Complete (14-14-14)
15.2,20.7,25.0,31.65,62.34,6.95,mango,Complete (14-14-14)
86.6,48.3,81.2,26.52,74.03,5.91,tomato,Complete (14-14-14)
46.1,27.1,80.9,24.15,71.43,6.42,sweet_potato,Muriate of Potash (0-0-60)
54.6,35.3,46.8,24.44,66.92,6.05,okra,Complete (14-14-14)
50.9,44.4,51.6,28.89,79.75,6.42,papaya,Complete (14-14-14)
43.3,15.5,69.7,24.55,74.17,4.87,pineapple,Muriate of Potash (0-0-60)
87.4,34.3,52.6,28.97,77.63,6.83,cacao,Complete (14-14-14)
56.7,25.3,81.9,28.67,60.86,6.16,tobacco,Ammonium Sulfate (21-0-0)
83.1,34.8,63.9,29.75,93.5,5.86,abaca,Complete (14-14-14)
87.3,52.0,23.8,25.39,74.27,6.73,corn,Urea (46-0-0)
66.4,30.9,42.1,24.14,60.49,6.02,onion,Complete (14-14-14)
30.3,39.5,88.5,25.63,65.6,6.28,sweet_potato,Muriate of Potash (0-0-60)
52.3,24.4,62.4,25.52,61.22,5.58,tobacco,Ammonium Sulfate (21-0-0)
100.5,71.7,49.8,25.63,87.51,5.74,banana,Muriate of Potash (0-0-60)
48.5,29.7,82.3,27.51,64.87,6.73,sweet_potato,Muriate of Potash (0-0-60)
62.6,49.8,51.0,28.49,78.75,6.68,eggplant,Complete (14-14-14)
83.8,41.7,54.4,23.79,66.15,6.17,garlic,Complete (14-14-14)
15.5,9.0,33.9,27.09,80.39,6.05,coconut,Muriate of Potash (0-0-60)
23.5,11.5,22.7,29.52,74.61,5.64,calamansi,Ammonium Sulfate (21-0-0)
65.5,32.3,44.9,24.86,85.56,6.39,cacao,Complete (14-14-14)
48.2,39.4,81.0,30.81,54.17,6.57,cassava,Muriate of Potash (0-0-60)
46.7,44.1,48.1,24.46,86.0,6.38,papaya,Complete (14-14-14)
25.2,39.9,22.1,29.3,74.57,6.06,mungbean,Ammonium Phosphate (16-20-0)
74.6,49.7,50.3,25.82,74.53,5.76,eggplant,Complete (14-14-14)
49.3,39.6,61.4,27.04,75.84,6.02,sweet_potato,Muriate of Potash (0-0-60)
25.4,23.5,30.5,28.2,83.6,5.94,rubber,Ammonium Sulfate (21-0-0)
77.6,47.3,88.9,21.94,60.9,5.57,tomato,Complete (14-14-14)
36.1,19.0,30.9,28.16,86.72,5.61,rubber,Ammonium Sulfate (21-0-0)
82.5,47.6,43.2,22.21,61.18,5.93,garlic,Complete (14-14-14)
133.3,50.8,48.0,25.55,70.05,7.44,sugarcane,Urea (46-0-0)
65.9,54.3,68.7,26.65,60.63,6.65,tomato,Complete (14-14-14)
79.0,33.4,58.5,26.09,55.53,6.16,onion,Complete (14-14-14)
56.4,23.7,82.5,25.21,58.43,5.05,cassava,Muriate of Potash (0-0-60)
18.0,9.4,32.7,27.83,86.87,6.09,coconut,Muriate of Potash (0-0-60)
42.0,36.9,41.1,28.46,60.47,6.07,okra,Complete (14-14-14)
104.5,21.9,25.4,21.41,64.4,6.04,coffee,Complete (14-14-14)
109.6,24.9,26.4,22.04,63.51,5.37,coffee,Complete (14-14-14)
67.1,25.3,76.8,31.12,89.01,5.49,abaca,Complete (14-14-14)
87.5,54.0,21.4,28.48,68.67,7.23,corn,Urea (46-0-0)
26.9,38.7,30.9,28.41,54.49,5.98,peanut,Ammonium Phosphate (16-20-0)
21.1,15.6,18.8,31.42,74.13,5.51,calamansi,Ammonium Sulfate (21-0-0)
64.0,25.5,76.3,27.27,88.17,5.06,abaca,Complete (14-14-14)
23.4,22.8,25.5,35.39,55.58,6.02,mango,Complete (14-14-14)
111.8,52.6,43.2,30.34,77.14,5.7,rice,Complete (14-14-14)
16.1,23.2,24.4,30.04,53.14,7.33,mango,Complete (14-14-14)
64.4,51.1,50.6,21.75,68.9,6.3,garlic,Complete (14-14-14)
80.2,46.0,81.9,26.3,71.29,6.63,tomato,Complete (14-14-14)
20.3,11.3,31.0,30.12,91.56,6.26,coconut,Muriate of Potash (0-0-60)
126.3,49.6,42.0,29.73,76.07,7.38,sugarcane,Urea (46-0-0)
89.7,51.1,20.5,25.34,67.71,5.75,corn,Urea (46-0-0)
115.6,40.1,56.8,27.36,74.33,6.61,sugarcane,Urea (46-0-0)
44.4,28.5,76.8,26.28,59.67,6.49,tobacco,Ammonium Sulfate (21-0-0)
43.7,34.5,30.3,31.42,65.2,6.25,ampalaya,Complete (14-14-14)
22.2,9.2,26.1,31.51,93.3,7.05,coconut,Muriate of Potash (0-0-60)
108.5,40.5,52.0,30.97,60.59,7.36,sugarcane,Urea (46-0-0)
21.3,16.8,31.5,29.42,50.39,6.49,mango,Complete (14-14-14)
20.0,8.4,30.4,25.72,81.85,5.55,coconut,Muriate of Potash (0-0-60)
23.7,21.6,32.7,31.67,51.08,6.19,mango,Complete (14-14-14)
68.2,44.2,46.2,22.0,60.75,6.57,onion,Complete (14-14-14)
63.2,40.3,56.7,26.71,82.02,6.42,cacao,Complete (14-14-14)
47.4,34.1,44.9,30.24,80.07,6.39,ampalaya,Complete (14-14-14)
15.8,10.6,31.4,30.15,89.13,5.53,coconut,Muriate of Potash (0-0-60)
121.1,47.6,41.8,34.85,70.59,5.82,sugarcane,Urea (46-0-0)
81.7,44.1,53.3,26.08,65.48,6.61,onion,Complete (14-14-14)
40.3,36.9,47.6,26.68,68.75,6.31,okra,Complete (14-14-14)
68.2,37.3,78.2,25.56,81.76,6.48,abaca,Complete (14-14-14)
16.9,35.3,27.3,27.63,62.45,6.08,mungbean,Ammonium Phosphate (16-20-0)
47.5,37.3,47.3,27.49,72.41,6.33,ampalaya,Complete (14-14-14)
107.6,44.7,43.4,28.89,85.17,6.98,rice,Complete (14-14-14)
52.1,36.5,61.3,24.35,64.2,6.47,tobacco,Ammonium Sulfate (21-0-0)
21.5,46.7,25.1,27.52,58.0,6.49,mungbean,Ammonium Phosphate (16-20-0)
113.5,60.2,47.4,33.89,76.95,6.98,sugarcane,Urea (46-0-0)
75.8,54.2,85.5,23.56,71.2,6.0,tomato,Complete (14-14-14)
71.4,26.4,61.9,26.35,87.3,5.74,abaca,Complete (14-14-14)
36.6,15.9,27.0,28.8,81.17,4.66,rubber,Ammonium Sulfate (21-0-0)
102.4,46.6,43.6,26.09,77.33,5.72,rice,Complete (14-14-14)
21.1,14.2,33.7,32.31,81.7,5.42,coconut,Muriate of Potash (0-0-60)
66.4,34.1,83.8,22.67,57.96,6.28,tobacco,Ammonium Sulfate (21-0-0)
69.3,26.0,68.5,27.49,56.09,6.2,tobacco,Ammonium Sulfate (21-0-0)
47.5,45.2,45.7,29.32,73.26,6.63,okra,Complete (14-14-14)
23.2,42.8,42.2,24.19,62.61,6.36,peanut,Ammonium Phosphate (16-20-0)
43.4,28.9,77.0,26.73,67.38,6.06,sweet_potato,Muriate of Potash (0-0-60)
64.4,19.9,80.0,27.29,84.42,5.91,abaca,Complete (14-14-14)
14.8,45.3,20.5,25.74,67.86,6.69,mungbean,Ammonium Phosphate (16-20-0)
80.5,38.7,39.9,23.19,64.66,6.18,onion,Complete (14-14-14)
48.8,35.5,76.2,29.77,65.25,5.73,cassava,Muriate of Potash (0-0-60)
14.8,29.5,35.9,25.05,56.33,5.95,peanut,Ammonium Phosphate (16-20-0)
141.1,58.1,58.7,26.71,70.64,6.53,sugarcane,Urea (46-0-0)
129.4,49.3,49.7,25.18,62.48,6.68,sugarcane,Urea (46-0-0)
15.1,5.6,28.0,27.43,82.45,6.12,coconut,Muriate of Potash (0-0-60)
52.4,42.5,46.8,32.03,63.48,6.35,okra,Complete (14-14-14)
131.3,57.7,41.0,24.53,77.1,6.58,sugarcane,Urea (46-0-0)
49.5,34.5,89.7,30.31,63.44,5.26,cassava,Muriate of Potash (0-0-60)
78.5,56.1,55.1,24.63,66.92,6.59,eggplant,Complete (14-14-14)
20.8,9.4,28.9,30.8,91.58,6.54,coconut,Muriate of Potash (0-0-60)
26.1,16.9,24.7,26.73,88.55,5.52,rubber,Ammonium Sulfate (21-0-0)
52.5,34.9,35.6,24.12,76.51,6.63,ampalaya,Complete (14-14-14)
77.3,32.5,41.7,25.51,64.94,6.57,garlic,Complete (14-14-14)
74.7,42.0,57.3,25.93,64.29,5.5,eggplant,Complete (14-14-14)
91.8,27.4,31.0,19.79,59.83,5.72,coffee,Complete (14-14-14)
68.5,20.1,64.1,29.1,82.66,5.49,abaca,Complete (14-14-14)
138.1,55.4,54.8,29.74,60.71,7.25,sugarcane,Urea (46-0-0)
37.5,19.3,25.8,25.07,77.49,4.56,rubber,Ammonium Sulfate (21-0-0)
19.2,30.2,26.7,27.94,66.59,6.37,mungbean,Ammonium Phosphate (16-20-0)
42.1,22.5,82.9,29.63,74.2,6.37,cassava,Muriate of Potash (0-0-60)
50.3,49.8,47.4,28.35,77.73,6.47,ampalaya,Complete (14-14-14)
20.1,21.6,28.8,32.0,69.56,5.79,mango,Complete (14-14-14)
47.5,33.7,71.6,29.41,55.35,5.54,cassava,Muriate of Potash (0-0-60)
86.3,29.7,68.3,28.33,89.13,5.84,abaca,Complete (14-14-14)
63.8,58.5,85.8,26.37,61.47,5.92,tomato,Complete (14-14-14)
22.6,30.3,20.9,27.36,73.6,6.73,mungbean,Ammonium Phosphate (16-20-0)
45.5,46.6,41.0,24.16,67.79,6.74,ampalaya,Complete (14-14-14)
70.9,22.2,79.5,29.9,92.94,6.13,abaca,Complete (14-14-14)
43.1,39.8,43.4,25.75,68.83,6.03,ampalaya,Complete (14-14-14)
82.5,49.5,24.4,28.93,71.81,5.59,corn,Urea (46-0-0)
22.8,12.4,27.8,29.69,91.59,7.8,coconut,Muriate of Potash (0-0-60)
75.1,48.4,47.2,23.4,59.38,6.88,onion,Complete (14-14-14)
136.3,47.2,59.5,29.29,61.61,6.17,sugarcane,Urea (46-0-0)
22.2,26.8,22.8,31.82,79.13,5.97,rubber,Ammonium Sulfate (21-0-0)
63.3,48.6,45.9,26.71,83.98,6.67,cacao,Complete (14-14-14)
120.0,41.9,47.4,32.59,79.8,6.11,sugarcane,Urea (46-0-0)
24.4,42.1,22.8,31.79,70.59,6.89,mungbean,Ammonium Phosphate (16-20-0)
45.1,30.9,78.8,24.31,55.04,5.82,tobacco,Ammonium Sulfate (21-0-0)
75.1,47.0,53.3,24.67,79.66,5.92,cacao,Complete (14-14-14)
48.8,31.6,60.9,25.44,55.81,5.24,cassava,Muriate of Potash (0-0-60)
67.2,41.2,57.4,23.1,67.58,6.03,garlic,Complete (14-14-14)
84.4,40.8,77.0,25.72,84.24,4.96,abaca,Complete (14-14-14)
58.5,28.0,65.5,23.49,55.21,6.17,tobacco,Ammonium Sulfate (21-0-0)
90.5,36.6,50.2,19.2,58.45,6.89,onion,Complete (14-14-14)
47.4,18.8,73.0,26.72,71.71,5.24,pineapple,Muriate of Potash (0-0-60)
92.3,89.4,52.4,27.36,85.41,6.18,banana,Muriate of Potash (0-0-60)
42.0,29.4,89.9,25.66,69.2,4.9,pineapple,Muriate of Potash (0-0-60)
114.2,72.8,53.9,31.42,87.38,5.98,banana,Muriate of Potash (0-0-60)
19.2,49.0,22.8,26.98,60.22,6.43,mungbean,Ammonium Phosphate (16-20-0)
60.8,41.6,48.9,25.85,59.28,6.33,onion,Complete (14-14-14)
63.3,59.5,84.1,24.32,61.95,6.04,tomato,Complete (14-14-14)
26.6,46.1,33.2,26.16,65.8,5.64,peanut,Ammonium Phosphate (16-20-0)
119.7,71.3,48.6,31.34,77.25,6.59,banana,Muriate of Potash (0-0-60)
20.3,21.2,26.4,33.33,61.49,5.99,mango,Complete (14-14-14)
88.3,48.7,41.2,30.99,82.25,5.77,rice,Complete (14-14-14)
95.1,48.6,42.1,29.81,89.22,6.42,rice,Complete (14-14-14)
19.0,17.2,24.8,26.56,65.3,6.89,mango,Complete (14-14-14)
89.4,48.5,40.2,30.9,81.71,6.05,rice,Complete (14-14-14)
46.0,34.6,62.6,24.74,72.34,6.82,sweet_potato,Muriate of Potash (0-0-60)
85.7,46.1,42.8,27.93,58.22,6.05,onion,Complete (14-14-14)
27.5,18.8,31.6,26.45,85.6,5.5,rubber,Ammonium Sulfate (21-0-0)
90.1,21.0,34.1,26.93,72.17,6.33,coffee,Complete (14-14-14)
86.6,42.3,21.7,29.63,60.81,5.88,corn,Urea (46-0-0)
125.0,47.6,56.5,30.89,72.33,7.33,sugarcane,Urea (46-0-0)
88.0,32.1,43.0,25.52,75.91,6.08,cacao,Complete (14-14-14)
108.2,79.8,47.9,26.09,85.82,5.87,banana,Muriate of Potash (0-0-60)
69.4,36.4,88.1,23.4,59.75,5.84,tobacco,Ammonium Sulfate (21-0-0)
74.0,29.4,70.9,27.92,86.81,5.51,abaca,Complete (14-14-14)
47.7,38.4,40.1,30.84,78.42,6.31,ampalaya,Complete (14-14-14)
20.1,18.7,30.5,29.08,57.15,7.38,mango,Complete (14-14-14)
86.5,47.8,43.4,28.35,69.33,6.35,onion,Complete (14-14-14)
130.5,58.6,50.8,30.31,66.37,7.16,sugarcane,Urea (46-0-0)
74.9,48.3,59.6,31.02,76.39,6.23,cacao,Complete (14-14-14)
42.5,63.7,48.3,30.36,85.99,6.65,papaya,Complete (14-14-14)
14.8,35.1,44.7,28.86,67.54,5.66,peanut,Ammonium Phosphate (16-20-0)
128.4,51.9,59.7,29.85,65.21,7.15,sugarcane,Urea (46-0-0)
85.2,38.6,55.3,26.66,61.29,6.1,garlic,Complete (14-14-14)
64.3,41.9,41.8,22.83,56.28,6.2,onion,Complete (14-14-14)
15.6,8.4,28.3,26.66,85.28,6.07,coconut,Muriate of Potash (0-0-60)
117.0,49.7,44.0,28.64,83.91,5.83,rice,Complete (14-14-14)
90.6,97.0,46.9,29.18,87.25,6.06,banana,Muriate of Potash (0-0-60)
102.7,49.8,51.5,31.08,73.55,6.68,sugarcane,Urea (46-0-0)
82.5,55.9,44.3,24.28,77.44,6.33,rice,Complete (14-14-14)
41.9,34.9,90.2,26.83,68.58,5.91,cassava,Muriate of Potash (0-0-60)
78.0,34.5,57.7,27.78,55.07,6.69,onion,Complete (14-14-14)
58.1,17.1,63.2,24.61,78.65,5.14,pineapple,Muriate of Potash (0-0-60)
40.5,28.3,71.3,25.3,74.16,5.08,pineapple,Muriate of Potash (0-0-60)
56.6,38.8,36.9,31.61,77.31,6.25,ampalaya,Complete (14-14-14)
50.3,20.9,88.8,29.3,73.39,5.56,pineapple,Muriate of Potash (0-0-60)
64.5,31.0,76.0,30.66,88.95,5.22,abaca,Complete (14-14-14)
98.0,41.9,20.7,29.23,60.77,7.46,corn,Urea (46-0-0)
21.4,16.0,29.9,36.06,51.17,7.43,mango,Complete (14-14-14)
19.9,12.0,15.1,28.85,74.95,5.72,calamansi,Ammonium Sulfate (21-0-0)
15.7,17.2,15.7,28.19,73.05,6.04,calamansi,Ammonium Sulfate (21-0-0)
93.0,99.3,50.0,30.42,79.5,5.68,banana,Muriate of Potash (0-0-60)
49.4,28.3,60.3,24.31,66.93,6.59,sweet_potato,Muriate of Potash (0-0-60)
70.5,22.2,60.0,31.69,85.76,6.31,abaca,Complete (14-14-14)
45.5,35.0,47.8,32.12,69.23,6.65,ampalaya,Complete (14-14-14)
15.3,18.7,29.9,28.22,59.02,6.53,mango,Complete (14-14-14)
114.7,53.9,41.6,26.8,84.95,6.18,rice,Complete (14-14-14)
66.2,30.6,44.7,23.86,59.1,6.15,garlic,Complete (14-14-14)
23.1,20.4,13.8,25.84,75.76,6.01,calamansi,Ammonium Sulfate (21-0-0)
63.7,25.0,74.9,28.11,94.94,5.81,abaca,Complete (14-14-14)
48.6,60.5,48.6,29.73,86.58,6.04,papaya,Complete (14-14-14)
105.2,90.7,48.8,29.6,79.36,6.66,banana,Muriate of Potash (0-0-60)
36.8,20.3,30.4,31.51,84.31,4.71,rubber,Ammonium Sulfate (21-0-0)
58.4,33.0,43.6,27.18,79.16,6.65,ampalaya,Complete (14-14-14)
17.8,12.6,31.0,26.35,83.22,6.0,coconut,Muriate of Potash (0-0-60)
88.2,45.4,76.8,24.45,61.42,5.91,tomato,Complete (14-14-14)
62.7,31.1,40.7,22.93,59.6,6.02,onion,Complete (14-14-14)
105.8,48.8,42.6,32.71,68.22,5.85,sugarcane,Urea (46-0-0)
51.8,44.4,31.5,26.13,65.26,6.42,okra,Complete (14-14-14)
107.0,55.0,54.4,32.68,61.53,5.81,sugarcane,Urea (46-0-0)
83.1,55.6,51.1,26.69,70.89,6.88,eggplant,Complete (14-14-14)
70.2,54.3,76.9,23.1,71.17,6.04,tomato,Complete (14-14-14)
53.4,23.2,86.5,22.76,64.88,6.27,tobacco,Ammonium Sulfate (21-0-0)
60.2,30.8,88.6,25.52,81.17,5.26,abaca,Complete (14-14-14)
21.1,32.2,28.3,28.88,73.01,6.91,mungbean,Ammonium Phosphate (16-20-0)
15.3,14.2,28.7,31.85,90.96,5.28,coconut,Muriate of Potash (0-0-60)
64.6,38.2,61.4,21.08,62.42,6.32,onion,Complete (14-14-14)
95.8,80.0,55.6,30.93,90.5,6.06,banana,Muriate of Potash (0-0-60)
19.3,25.9,33.7,30.88,60.14,6.5,mango,Complete (14-14-14)
112.6,44.6,43.5,29.29,65.95,5.86,sugarcane,Urea (46-0-0)
46.1,53.1,51.4,28.2,74.8,5.94,papaya,Complete (14-14-14)
58.1,48.3,37.2,28.97,66.78,6.57,ampalaya,Complete (14-14-14)
19.9,13.5,32.6,24.56,81.3,6.37,coconut,Muriate of Potash (0-0-60)
17.6,14.6,15.7,31.48,80.0,6.01,calamansi,Ammonium Sulfate (21-0-0)
21.3,50.6,23.3,28.62,71.54,6.54,mungbean,Ammonium Phosphate (16-20-0)
66.1,34.6,85.4,28.35,62.49,5.52,tobacco,Ammonium Sulfate (21-0-0)
